transaction_date,user_id,transaction_amount,merchant_type,channel,balance_before,balance_after,is_fraud,Last_6_Month_Avg,Current_Month_Cumulative_Sum,Deviation_From_Avg,Deviation_Ratio,Rolling_Std,Transaction_Velocity,Merchant_Risk_Score,user_mean_amount,user_std_amount,user_max_amount,user_min_amount,user_avg_balance,Amount_Normalized,Amount_To_Balance_Ratio,Amount_To_Max_Ratio,Hour,DayOfWeek,IsWeekend,IsNightTime,Channel_Encoded,Merchant_Encoded
2024-12-06 23:58:45.718435,USR001,3824.97,Gas Station,ATM,24324.81,20499.84,0,3824.97,3824.97,0.0,0.999738628373981,0.0,0.0,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,0.3752707435551344,0.15723916284802025,0.1496799875465273,23,4,0,1,1,0
2024-12-07 23:51:45.718435,USR001,25553.318000000007,Grocery,ONLINE,26050.55,23456.79,0,14689.144000000004,29378.288000000008,10864.174000000003,1.7394872371571035,15364.262214781163,0.04018754186202277,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,5.4778062358259705,0.980875149463276,0.9999608676701918,23,5,1,1,2,1
2024-12-08 22:39:45.718435,USR001,733.97,Travel,ONLINE,27191.23,26457.26,0,10037.419333333337,30112.25800000001,-9303.449333333338,0.07311609284569301,13525.749658547635,0.04201680672268907,0.7776772445585692,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.35059839323378067,0.026991901730751763,0.02872195610933541,22,6,1,1,2,2
2024-12-09 13:12:45.718435,USR001,1852.81,Online Shopping,ONLINE,26033.82,24181.01,0,7991.267000000002,31965.068000000007,-6138.457000000002,0.2318253381675061,11777.558888353,0.06430868167202572,0.9733477789815818,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.08785771869320812,0.0711666145569664,0.07250477199195844,13,0,0,0,2,3
2024-12-10 03:46:45.718435,USR001,959.05,Online Shopping,POS,26814.36,26279.78,0,6584.8236000000015,32924.11800000001,-5625.773600000001,0.14562339629017693,10673.499201924591,0.06423982869379015,0.9733477789815818,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.29774215728798675,0.03576494964080288,0.03752986090256839,3,1,0,1,0,3
2024-12-10 05:44:45.718435,USR001,2091.6,Clothing,POS,27442.47,25350.87,0,5835.953000000001,35015.71800000001,-3744.3530000000014,0.35833764637131726,9721.301930505711,0.33707865168539325,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.03178192083690757,0.07621485183907137,0.08184918102686205,5,1,0,1,0,4
2024-12-10 13:32:45.718435,USR001,169.82,Clothing,ATM,24351.22,24181.4,0,5026.50542857143,35185.53800000001,-4856.68542857143,0.03377818331829321,9129.048706352321,0.11363636363636363,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.4830794911048471,0.006973491533831412,0.006645452248031035,13,1,0,0,1,4
2024-12-10 20:42:45.718435,USR001,426.24,Clothing,ATM,24517.5,24091.25,0,4451.472250000001,35611.778000000006,-4025.232250000001,0.09573108512916614,8606.92676577056,0.12244897959183672,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.42286358555472947,0.01738442400636254,0.01667976425745347,20,1,0,0,1,4
2024-12-11 00:00:00.000000,USR001,2748.26,Online Shopping,POS,29014.72,26266.47,0,4262.226444444445,38360.03800000001,-1513.9664444444452,0.6446432146669926,8071.035595368405,0.23324700828081596,0.9733477789815818,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,0.1224235878540692,0.09471624347078067,0.10754581671872439,0,2,0,1,0,3
2024-12-11 01:51:45.718435,USR001,105.48,Healthcare,ATM,26417.88,26312.4,0,3846.551800000001,38465.51800000001,-3741.071800000001,0.027414835584539752,7722.14428738469,0.34932062453538204,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.4981886532727536,0.003992599232064342,0.004127678148170496,1,2,0,1,1,5
2024-12-11 14:40:45.718435,USR001,407.54,Electronics,POS,24369.65,23962.11,0,3533.914363636364,38873.058000000005,-3126.3743636363643,0.11528992164346631,7398.8867398038665,0.07237635705669482,1.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.427254964674093,0.016722574079887077,0.015947989690039858,14,2,0,0,0,6
2024-12-11 22:43:00.000000,USR001,3444.84,Electronics,ONLINE,25736.7,22291.86,0,3526.4915000000005,42317.89800000001,-81.6515000000004,0.9765693269565637,7054.608570675028,0.11065251257531494,1.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,0.2860036342159011,0.13384412748613903,0.13480461501653065,22,2,0,1,2,6
2024-12-12 04:39:45.718435,USR001,321.07,Electronics,ONLINE,27683.82,27362.75,0,3279.920615384616,42638.96800000001,-2958.850615384616,0.0978597283013998,6812.530650192209,0.14396706934687198,1.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.44756098352175966,0.011597330233680406,0.012564217131523522,4,3,0,1,2,6
2024-12-12 09:12:45.718435,USR001,801.2,Entertainment,ATM,29827.78,29026.57,0,3102.8691428571433,43440.168000000005,-2301.669142857143,0.258129438814707,6578.7073845615105,0.1801801801801802,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.3348105633837907,0.026859965442770375,0.03135282264234169,9,3,0,0,1,7
2024-12-13 11:23:45.718435,USR001,122.69,Utilities,ONLINE,25265.27,25142.57,0,2904.190533333334,43562.85800000001,-2781.500533333334,0.042231309303913,6385.9301310838255,0.03678724708767627,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.49414717548429116,0.004855880982828094,0.004801145544169872,11,4,0,0,2,8
2024-12-13 17:03:45.718435,USR001,825.41,Restaurant,ONLINE,28685.035,26618.26,0,2774.2667500000007,44388.26800000001,-1948.8567500000008,0.29741645555332646,6191.244874397691,0.15,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.32912525383941693,0.02877393128747141,0.03230021634699857,17,4,0,0,2,9
2024-12-15 06:52:45.718435,USR001,1129.3,Clothing,POS,28663.37,27534.07,0,2677.5040000000004,45517.56800000001,-1548.2040000000004,0.421615946812101,6007.908540642244,0.025762129669386,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.2577618206531395,0.039397342414991154,0.04419214005241696,6,6,1,1,0,4
2024-12-15 18:26:45.718435,USR001,1615.6,Online Shopping,ONLINE,24410.09,22794.49,0,2618.5093333333334,47133.168000000005,-1002.9093333333335,0.6167567259415503,5833.899079347796,0.07957559681697612,0.9733477789815818,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.14356248023888868,0.06618303402265117,0.06322219203815181,18,6,1,0,2,3
2024-12-16 21:55:45.718435,USR001,2190.82,Healthcare,ONLINE,29145.03,26954.22,0,2595.999368421053,49323.988000000005,-405.1793684210529,0.843596662609893,5670.379787644135,0.03510825043885313,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.008481779862402124,0.07516701245418331,0.08573189079043313,21,0,0,0,2,5
2024-12-17 10:22:45.718435,USR001,1773.2,Travel,POS,28685.035,25933.95,0,2554.8594000000003,51097.18800000001,-781.6594000000002,0.6937783823319859,5522.208147732863,0.07434944237918216,0.7776772445585692,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.10655278242008145,0.0618140499375393,0.06938944721592646,10,1,0,0,0,2
2024-12-17 22:54:45.718435,USR001,220.38,Healthcare,ONLINE,29435.1,29214.72,0,2443.6937142857146,51317.56800000001,-2223.3137142857145,0.09014626196819513,5406.436690541167,0.07389162561576355,0.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.47120632916500643,0.007486725483335089,0.008623982843134375,22,1,0,1,2,5
2024-12-18 12:24:45.718435,USR001,528.94,Travel,ONLINE,27133.74,26604.8,0,2356.659454545455,51846.50800000001,-1827.719454545455,0.22434961884772162,5291.911106724056,0.06896551724137931,0.7776772445585692,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.3987462253644281,0.019493092618539924,0.020698654528757132,12,2,0,0,2,2
2024-12-19 20:11:45.718435,USR001,589.45,Electronics,ONLINE,28537.86,27948.41,0,2279.8242608695655,52435.958000000006,-1690.3742608695654,0.25843727204798844,5183.356370355841,0.03050330452465684,1.0,2226.938330737499,4257.343333998057,25553.318000000007,7.354,26903.946260162604,-0.3845364740001132,0.02065429382953629,0.02306655180545221,20,3,0,0,2,6
